ID,Elemento,Collation,Period,Written_page_number,Description,Conservative_notes,Requires_analysis,Scanned_byConfiguration,Width_mm,Height_mm,Content,Plannedscan_ProjectID,Online_links
1,piatto anteriore,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
2,risguardia anteriore,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
3,dorso,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
4,taglio centrale,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
5,taglio di testa,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
6,taglio di piede,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
7,piatto posteriore,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
8,g1r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
9,g2v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
10,g3r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
11,g4v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
12,1r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
13,1v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
14,2r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
15,2v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
16,3r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
17,3v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
18,4r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
19,4v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
20,5r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
21,5v,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
22,6r,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
